url,title,price,lat,lon,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1012743554,"4-комнатная квартира · 124 м² · 12/12 этаж, Мангилик Ел Е496",90000000,51.074432417972,71.423817040359,,,,нет,Нет,3.3 м,2025,"Астана, Есильский р-н",,Mangilik Park,,,паркинг,"124 м², Площадь кухни — 17 м²",,,,,монолитный,12 из 12
https://krisha.kz/a/show/1012531453,"4-комнатная квартира · 105 м² · 9/12 этаж, Сыганак 13",65000000,51.130518936925,71.38139446843,лоджия,,"охрана, кодовый замок, видеонаблюдение",нет,Нет,2.75 м,2022,"Астана, Есильский р-н",бронированная,MIAMI,,частично,паркинг,105 м²,ламинат,2 с/у и более,,,монолитный,9 из 12
https://krisha.kz/a/show/1011550279,"4-комнатная квартира · 127 м² · 3/12 этаж, Мангилик Ел — Триумфальная Арка",119000000,51.096549842613,71.424636191901,лоджия,,"домофон, видеонаблюдение",нет,Нет,3 м,2019,"Астана, Есильский р-н",металлическая,Dream City,,полностью,паркинг,127 м²,ламинат,2 с/у и более,,,монолитный,3 из 12
https://krisha.kz/a/show/1012743554,"4-комнатная квартира · 124 м² · 12/12 этаж, Мангилик Ел Е496",90000000,51.074432417972,71.423817040359,,,,нет,Нет,3.3 м,2025,"Астана, Есильский р-н",,Mangilik Park,,,паркинг,"124 м², Площадь кухни — 17 м²",,,,,монолитный,12 из 12
https://krisha.kz/a/show/1012341257,"2-комнатная квартира · 53 м² · 10/17 этаж, Хусеин Бен талал 39",38500000,51.079153028287,71.431485143844,балкон,,"охрана, домофон, видеонаблюдение, видеодомофон",нет,Нет,2.65 м,2024,"Астана, Есильский р-н",металлическая,MoD. Standard,ADSL,полностью,,53 м²,ламинат,совмещенный,,есть возможность подключения,монолитный,10 из 17
https://krisha.kz/a/show/1009075968,"1-комнатная квартира · 35.8 м² · 14/16 этаж, Б.Момышулы 27",22000000,51.142085781469,71.482841834222,балкон и лоджия,да,,,Нет,2.8 м,2014,"Астана, Алматы р-н",металлическая,Независимость,проводной,полностью,паркинг,"35.8 м², Площадь кухни — 9 м²",,совмещенный,"не новый, но аккуратный ремонт",,монолитный,14 из 16
https://krisha.kz/a/show/1012946795,"4-комнатная квартира · 169 м² · 8/14 этаж, Тараса Шевченко 8/1",59000000,51.159370186012,71.405506721931,,,,нет,Нет,3 м,2008,"Астана, Есильский р-н",,Сана,,,паркинг,169 м²,,,,,кирпичный,8 из 14
https://krisha.kz/a/show/1012947225,"2-комнатная квартира · 45 м² · 4/5 этаж, Е-18 1 — Коркыт Ата",26000000,51.12321,71.373575,балкон,да,"домофон, видеонаблюдение",нет,Нет,2.7 м,2023,"Астана, Нура р-н",,,,частично,,"45 м², Площадь кухни — 7.4 м²",ламинат,совмещенный,"не новый, но аккуратный ремонт",,кирпичный,4 из 5
https://krisha.kz/a/show/1012946883,"2-комнатная квартира · 58 м² · 12/13 этаж, Улица А 52, 6 4/1",32800000,51.106611924814,71.510803699493,лоджия,да,"домофон, кодовый замок, сигнализация, видеонаблюдение",нет,Нет,3 м,2021,"Астана, Сарайшык р-н",металлическая,Geneva 2,,полностью,,58 м²,ламинат,совмещенный,свежий ремонт,есть возможность подключения,кирпичный,12 из 13
https://krisha.kz/a/show/1012947197,"2-комнатная квартира · 66 м² · 5/12 этаж, Жубан Молдагалиев 3",38500000,51.126433730996,71.363986730466,,,,,Да,3 м,2024,"Астана, Нура р-н",,Delta,,,паркинг,66 м²,,,,,монолитный,5 из 12
https://krisha.kz/a/show/1011473415,"3-комнатная квартира · 78.4 м² · 5/16 этаж, Сыганак",69777777,51.131047795816,71.390061143417,,,,нет,Нет,3 м,2017,"Астана, Есильский р-н",,GreenLine.Зеленый квартал,,,паркинг,78.4 м²,,,,,монолитный,5 из 16
https://krisha.kz/a/show/1011682658,"2-комнатная квартира · 47 м² · 6/14 этаж, Кайым Мухамедханова 5 — Хан Шатыр",41000000,51.13867858757,71.390998363277,,,,нет,Нет,3 м,2024,"Астана, Нура р-н",,GreenLine.Atmosfera,,,паркинг,47 м²,,,,,монолитный,6 из 14
https://krisha.kz/a/show/1012946746,"3-комнатная квартира · 70 м² · 3/9 этаж, мкр Комсомольский, Бокейхана — Триумфальной арки",73000000,51.104714,71.433573,лоджия,да,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,,2024,"Астана, Есильский р-н",металлическая,,,полностью,паркинг,"70 м², Площадь кухни — 20 м²",ламинат,2 с/у и более,,,,3 из 9
https://krisha.kz/a/show/1012947158,"2-комнатная квартира · 46 м² · 7/9 этаж, Кенесары 54",32900000,51.166815630907,71.44322867604,,,,нет,Нет,3 м,2026,"Астана, р-н Байконур",,DARMEN,,,паркинг,46 м²,,,,,монолитный,7 из 9
https://krisha.kz/a/show/1012946265,"1-комнатная квартира · 38 м² · 2/11 этаж, Розы Багланова 1",21590000,51.117177,71.394676,,,,нет,Нет,,2022,"Астана, Нура р-н",,,,,,38 м²,,,свежий ремонт,,кирпичный,2 из 11
https://krisha.kz/a/show/1012567608,"2-комнатная квартира · 55 м² · 7/9 этаж, Кабанбай батыра 51 — Кабанбай батыра",44000000,51.099347,71.404827,лоджия,да,,,Нет,3 м,2020,"Астана, Есильский р-н",металлическая,Galamat Towers,,,паркинг,"55 м², Площадь кухни — 10 м²",,совмещенный,,,монолитный,7 из 9
https://krisha.kz/a/show/1007906952,"2-комнатная квартира · 52 м² · 9/12 этаж, Казыбек би 41/1",37000000,51.096908646153,71.382093393245,балкон,,,нет,Нет,3 м,2025,"Астана, Нура р-н",бронированная,Salman City,,,паркинг,"52 м², Площадь кухни — 10 м²",,раздельный,,,монолитный,9 из 12
https://krisha.kz/a/show/1012340428,"2-комнатная квартира · 43.5 м² · 4/9 этаж, ул. Алихана Бокейхана 16/2",49800000,51.105673582766,71.434243349636,,,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",,Нет,3 м,2024,"Астана, Есильский р-н",,,,частично,,43.5 м²,ламинат,совмещенный,,,монолитный,4 из 9
https://krisha.kz/a/show/693631312,"1-комнатная квартира · 17 м² · 10/12 этаж, Циолковского 1/1",11000000,51.165996,71.469057,,,"охрана, домофон",нет,Нет,2.8 м,2007,"Астана, р-н Байконур",металлическая,,,полностью,,17 м²,,совмещенный,,,кирпичный,10 из 12
https://krisha.kz/a/show/1011939212,"5-комнатная квартира · 150 м² · 4/17 этаж, Просп. Туран 83/2",130000000,51.085558020681,71.386343885721,балкон,,видеодомофон,нет,Да,3 м,2025,"Астана, Есильский р-н",металлическая,Turan Palace,,частично,паркинг,"150 м², Площадь кухни — 15 м²",ламинат,2 с/у и более,свежий ремонт,,монолитный,4 из 17
https://krisha.kz/a/show/1012743283,"1-комнатная квартира · 37.27 м² · 8/9 этаж, Е-321 6/2",26500000,51.063351184666,71.422150489309,,,,нет,Нет,3 м,2026,"Астана, Есильский р-н",,Aisar,,,паркинг,37.27 м²,,,черновая отделка,,монолитный,8 из 9
https://krisha.kz/a/show/1012743283,"1-комнатная квартира · 37.27 м² · 8/9 этаж, Е-321 6/2",26500000,51.063351184666,71.422150489309,,,,нет,Нет,3 м,2026,"Астана, Есильский р-н",,Aisar,,,паркинг,37.27 м²,,,черновая отделка,,монолитный,8 из 9
https://krisha.kz/a/show/1009300992,"1-комнатная квартира · 38 м² · 2/9 этаж, Толе би 57 — Greenline, ТРЦ Хан Шатыр, СОШ101",33500000,51.131764499604,71.39582428715,лоджия,,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",нет,Да,3 м,2023,"Астана, Нура р-н",металлическая,GreenLine.Asyl Mura Al-Farabi,,полностью,паркинг,38 м²,ламинат,совмещенный,свежий ремонт,,монолитный,2 из 9
https://krisha.kz/a/show/1012486491,"2-комнатная квартира · 59 м² · 4/10 этаж, Жургенова 28/1",23700000,51.1233,71.506436,,да,,нет,Нет,2.7 м,2014,"Астана, Сарайшык р-н",,,,,,"59 м², Площадь кухни — 12 м²",линолеум,,,,кирпичный,4 из 10
https://krisha.kz/a/show/1010181624,"2-комнатная квартира · 82 м² · 2/9 этаж, Каршыга Ахмедьярова 3 — калдаякова",50000000,51.1112559737,71.500409097366,балкон,да,,нет,Нет,3 м,2022,"Астана, Алматы р-н",деревянная,Мынжылдык,,полностью,паркинг,"82 м², Площадь кухни — 18.2 м²",паркет,раздельный,свежий ремонт,нет,кирпичный,2 из 9
https://krisha.kz/a/show/1011765399,"3-комнатная квартира · 84 м² · 21/22 этаж, Туран 57/1",59000000,51.107099886527,71.396269688327,,,,нет,Нет,3 м,2025,"Астана, Нура р-н",,Arena Towers 2,,,паркинг,84 м²,,,,,монолитный,21 из 22
